IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.217.207.0,443,443,true,ORD,North America,Chicago,214,8.36
18.222.24.212,443,443,true,ORD,North America,Chicago,214,8.36
3.13.125.208,2053,443,true,CMH,North America,Columbus,219,8.36
18.117.70.248,443,443,true,ATL,North America,Atlanta,215,8.35
18.191.28.128,443,443,true,ORD,North America,Chicago,220,8.35
54.248.121.219,443,443,true,NRT,Asia Pacific,Tokyo,70,8.35
3.137.178.121,443,443,true,ORD,North America,Chicago,219,8.35
13.53.172.46,2083,443,true,OSL,Europe,Oslo,212,8.35
3.136.17.72,443,443,true,ORD,North America,Chicago,216,8.35
35.87.117.214,443,443,true,SEA,North America,Seattle,194,8.35
3.17.129.177,443,443,true,ORD,North America,Chicago,215,8.35
35.95.217.234,80,443,true,PDX,North America,Portland,198,8.34
18.227.111.177,443,443,true,ORD,North America,Chicago,215,8.34
54.187.54.178,443,443,true,SEA,North America,Seattle,192,8.34
204.110.221.88,80,443,true,PDX,North America,Portland,194,8.34
18.221.49.66,443,443,true,ORD,North America,Chicago,218,8.34
18.225.156.231,443,443,true,ORD,North America,Chicago,215,8.34
3.18.225.231,443,443,true,CMH,North America,Columbus,228,8.33
52.32.90.142,80,443,true,PDX,North America,Portland,197,8.33
18.188.142.146,443,443,true,ORD,North America,Chicago,215,8.32
18.216.161.160,443,443,true,ORD,North America,Chicago,219,8.32
204.110.221.24,80,443,true,SEA,North America,Seattle,199,8.32
35.88.133.183,443,443,true,SEA,North America,Seattle,193,8.31
3.145.75.136,443,443,true,ORD,North America,Chicago,219,8.31
18.119.109.144,443,443,true,ORD,North America,Chicago,228,8.31
3.133.88.3,443,443,true,ORD,North America,Chicago,221,8.31
34.220.191.48,443,443,true,SEA,North America,Seattle,200,8.31
34.216.117.89,80,443,true,PDX,North America,Portland,196,8.31
3.138.172.243,443,443,true,ORD,North America,Chicago,216,8.31
3.12.155.196,443,443,true,ORD,North America,Chicago,218,8.31
16.171.30.40,443,443,true,AMS,Europe,Amsterdam,179,8.31
18.222.109.38,443,443,true,ORD,North America,Chicago,219,8.31
18.220.136.250,443,443,true,ORD,North America,Chicago,219,8.30
18.118.128.48,443,443,true,ORD,North America,Chicago,215,8.30
3.144.191.4,443,443,true,CMH,North America,Columbus,218,8.30
18.218.136.128,443,443,true,ORD,North America,Chicago,220,8.30
204.110.220.132,80,443,true,PDX,North America,Portland,207,8.30
3.144.11.174,443,443,true,ORD,North America,Chicago,219,8.29
34.222.202.200,443,443,true,SEA,North America,Seattle,198,8.29
35.92.182.132,443,443,true,SEA,North America,Seattle,196,8.29
34.209.72.99,443,443,true,PDX,North America,Portland,227,8.29
18.191.178.2,443,443,true,ORD,North America,Chicago,215,8.28
